dataset,unit,option
gnu,csplit,--silent
gnu,csplit,--suffix-format
gnu,csplit,--suppress-matched
gnu,csplit,--version
gnu,csplit,-z
gnu,cut,-b
gnu,cut,--bytes
gnu,cut,-c
gnu,cut,--characters
gnu,cut,--complement
gnu,cut,-d
gnu,cut,--delimiter
gnu,cut,-f
gnu,cut,--fields
gnu,cut,--help
gnu,cut,-M
gnu,cut,-n
gnu,cut,--only-delimited
gnu,cut,--output-delimiter
gnu,cut,-s
gnu,cut,--version
gnu,cut,-z
gnu,cut,--zero-terminated
gnu,date,-d
gnu,date,--date
gnu,date,--debug
gnu,date,-f
gnu,date,--file
gnu,date,--help
gnu,date,-I
gnu,date,--iso-8601
gnu,date,-r
gnu,date,-R
gnu,date,--reference
gnu,date,--resolution
gnu,date,--rfc-3339
gnu,date,--rfc-email
gnu,date,-s
gnu,date,--set
gnu,date,-u
gnu,date,--universal
gnu,date,--utc
gnu,date,--version
gnu,dd,--help
gnu,dd,--version
gnu,df,-a
gnu,df,--all
gnu,df,-B
gnu,df,--block-size
gnu,df,--direct
gnu,df,--exclude-type
gnu,df,-h
gnu,df,-H
gnu,df,--help
gnu,df,--human-readable
gnu,df,-i
gnu,df,--inodes
gnu,df,-k
gnu,df,-l
gnu,df,--local
gnu,df,--no-sync
gnu,df,--output
gnu,df,-P
gnu,df,--portability
gnu,df,--print-type
gnu,df,--si
gnu,df,--sync
gnu,df,-t
gnu,df,-T
gnu,df,--total
gnu,df,--type
gnu,df,-v
gnu,df,--version
gnu,df,-x
gnu,diff3,-3
gnu,diff3,-a
gnu,diff3,-A
gnu,diff3,--diff-program
gnu,diff3,-e
gnu,diff3,-E
gnu,diff3,--easy-only
gnu,diff3,--ed
gnu,diff3,--help
gnu,diff3,-i
gnu,diff3,--initial-tab
gnu,diff3,-L
gnu,diff3,--label
gnu,diff3,-m
gnu,diff3,--merge
gnu,diff3,--overlap-only
gnu,diff3,--show-all
gnu,diff3,--show-overlap
gnu,diff3,--strip-trailing-cr
gnu,diff3,-T
gnu,diff3,--text
gnu,diff3,-v
gnu,diff3,--version
gnu,diff3,-x
gnu,diff3,-X
gnu,diff,-a
gnu,diff,-b
gnu,diff,-B
gnu,diff,--brief
gnu,diff,-c
gnu,diff,-C
gnu,diff,--color
gnu,diff,--context
gnu,diff,-d
gnu,diff,-D
gnu,diff,-e
gnu,diff,-E
gnu,diff,--ed
gnu,diff,--exclude
gnu,diff,--exclude-from
gnu,diff,--expand-tabs
gnu,diff,-F
gnu,diff,--from-file
gnu,diff,--help
gnu,diff,--horizon-lines
gnu,diff,-i
gnu,diff,-I
gnu,diff,--ifdef
gnu,diff,--ignore-all-space
gnu,diff,--ignore-blank-lines
gnu,diff,--ignore-case
gnu,diff,--ignore-file-name-case
gnu,diff,--ignore-matching-lines
gnu,diff,--ignore-space-change
gnu,diff,--ignore-tab-expansion
gnu,diff,--ignore-trailing-space
gnu,diff,--initial-tab
gnu,diff,-l
gnu,diff,--label
gnu,diff,--left-column
gnu,diff,--line-format
gnu,diff,--minimal
gnu,diff,-n
gnu,diff,-N
gnu,diff,--new-file
gnu,diff,--no-dereference
gnu,diff,--no-ignore-file-name-case
gnu,diff,--normal
gnu,diff,-p
gnu,diff,--paginate
gnu,diff,--palette
gnu,diff,-q
gnu,diff,-r
gnu,diff,--rcs
gnu,diff,--recursive
gnu,diff,--report-identical-files
gnu,diff,-s
gnu,diff,-S
gnu,diff,--show-c-function
gnu,diff,--show-function-line
gnu,diff,--side-by-side
gnu,diff,--speed-large-files
gnu,diff,--starting-file
gnu,diff,--strip-trailing-cr
gnu,diff,--suppress-blank-empty
gnu,diff,--suppress-common-lines
gnu,diff,-t
gnu,diff,-T
gnu,diff,--tabsize
gnu,diff,--text
gnu,diff,--to-file
gnu,diff,-u
gnu,diff,-U
gnu,diff,--unidirectional-new-file
gnu,diff,--unified
gnu,diff,-v
gnu,diff,--version
gnu,diff,-w
gnu,diff,-W
gnu,diff,--width
gnu,diff,-x
gnu,diff,-X
gnu,diff,-y
gnu,diff,-Z
gnu,dircolors,-b
gnu,dircolors,--bourne-shell
gnu,dircolors,-c
gnu,dircolors,--csh
gnu,dircolors,--c-shell
gnu,dircolors,--help
gnu,dircolors,-p
gnu,dircolors,--print-database
gnu,dircolors,--print-ls-colors
gnu,dircolors,--sh
gnu,dircolors,--version
gnu,dirname,--help
gnu,dirname,--version
gnu,dirname,-z
gnu,dirname,--zero
gnu,dir,-1
gnu,dir,-a
gnu,dir,-A
gnu,dir,--all
gnu,dir,--almost-all
gnu,dir,--author
gnu,dir,-b
gnu,dir,-B
gnu,dir,--block-size
gnu,dir,-c
gnu,dir,-C
gnu,dir,--classify
gnu,dir,--color
gnu,dir,--context
gnu,dir,-d
gnu,dir,-D
gnu,dir,--dereference
gnu,dir,--dereference-command-line
gnu,dir,--dereference-command-line-symlink-to-dir
gnu,dir,--directory
gnu,dir,--dired
gnu,dir,--escape
gnu,dir,-f
gnu,dir,-F
gnu,dir,--file-type
gnu,dir,--format
gnu,dir,--full-time
gnu,dir,-g
gnu,dir,-G
gnu,dir,--group-directories-first
gnu,dir,-h
gnu,dir,-H
gnu,dir,--help
gnu,dir,--hide
gnu,dir,--hide-control-chars
gnu,dir,--human-readable
gnu,dir,--hyperlink
gnu,dir,-i
gnu,dir,-I
gnu,dir,--ignore
gnu,dir,--ignore-backups
gnu,dir,--indicator-style
gnu,dir,--inode
gnu,dir,-k
gnu,dir,--kibibytes
gnu,dir,-l
gnu,dir,-L
gnu,dir,--literal
gnu,dir,-m
gnu,dir,-n
gnu,dir,-N
gnu,dir,--no-group
gnu,dir,--numeric-uid-gid
gnu,dir,-o
gnu,dir,-p
gnu,dir,-q
gnu,dir,-Q
gnu,dir,--quote-name
gnu,dir,--quoting-style
gnu,dir,-r
gnu,dir,-R
gnu,dir,--recursive
gnu,dir,--reverse
gnu,dir,-s
gnu,dir,-S
gnu,dir,--show-control-chars
gnu,dir,--si
gnu,dir,--size
gnu,dir,--sort
gnu,dir,-t
gnu,dir,-T
gnu,dir,--tabsize
gnu,dir,--time
gnu,dir,--time-style
gnu,dir,-u
gnu,dir,-U
gnu,dir,-v
gnu,dir,--version
gnu,dir,-w
gnu,dir,--width
gnu,dir,-x
gnu,dir,-X
gnu,dir,-Z
gnu,dir,--zero
gnu,du,-0
gnu,du,-a
gnu,du,-A
gnu,du,--all
gnu,du,--apparent-size
gnu,du,-b
gnu,du,-B
gnu,du,--block-size
gnu,du,--bytes
gnu,du,-c
gnu,du,--count-links
gnu,du,-d
gnu,du,-D
gnu,du,--dereference
gnu,du,--dereference-args
gnu,du,--exclude
gnu,du,--exclude-from
gnu,du,--files0-from
gnu,du,-h
gnu,du,-H
gnu,du,--help
gnu,du,--human-readable
gnu,du,--inodes
gnu,du,-k
gnu,du,-l
gnu,du,-L
gnu,du,-m
gnu,du,--max-depth
gnu,du,--no-dereference
gnu,du,--null
gnu,du,--one-file-system
gnu,du,-P
gnu,du,-s
gnu,du,-S
gnu,du,--separate-dirs
gnu,du,--si
gnu,du,--summarize
gnu,du,-t
gnu,du,--threshold
gnu,du,--time
gnu,du,--time-style
gnu,du,--total
gnu,du,--version
gnu,du,-x
gnu,du,-X
gnu,echo,-e
gnu,echo,-E
gnu,echo,--help
gnu,echo,-n
gnu,echo,--version
gnu,egrep,-a
gnu,egrep,-A
gnu,egrep,--after-context
gnu,egrep,-b
gnu,egrep,-B
gnu,egrep,--basic-regexp
gnu,egrep,--before-context
gnu,egrep,--binary
gnu,egrep,--binary-files
gnu,egrep,--byte-offset
gnu,egrep,-c
gnu,egrep,-C
gnu,egrep,--color
gnu,egrep,--colour
gnu,egrep,--context
gnu,egrep,--count
gnu,egrep,-d
gnu,egrep,-D
gnu,egrep,--dereference-recursive
gnu,egrep,--devices
gnu,egrep,--directories
gnu,egrep,-e
gnu,egrep,-E
gnu,egrep,--exclude
gnu,egrep,--exclude-dir
gnu,egrep,--exclude-from
gnu,egrep,--extended-regexp
gnu,egrep,-f
gnu,egrep,-F
gnu,egrep,--file
gnu,egrep,--files-with-matches
gnu,egrep,--files-without-match
gnu,egrep,--fixed-strings
gnu,egrep,-G
gnu,egrep,--group-separator
gnu,egrep,-h
gnu,egrep,-H
gnu,egrep,--help
gnu,egrep,-i
gnu,egrep,-I
gnu,egrep,--ignore-case
gnu,egrep,--include
gnu,egrep,--initial-tab
gnu,egrep,--invert-match
gnu,egrep,-l
gnu,egrep,-L
gnu,egrep,--label
gnu,egrep,--line-buffered
gnu,egrep,--line-number
gnu,egrep,--line-regexp
gnu,egrep,-m
gnu,egrep,--max-count
gnu,egrep,-n
gnu,egrep,--no-filename
gnu,egrep,--no-group-separator
gnu,egrep,--no-ignore-case
gnu,egrep,--no-messages
gnu,egrep,--null
gnu,egrep,--null-data
gnu,egrep,-o
gnu,egrep,--only-matching
gnu,egrep,-P
gnu,egrep,--perl-regexp
gnu,egrep,-q
gnu,egrep,--quiet
gnu,egrep,-r
gnu,egrep,-R
gnu,egrep,--recursive
gnu,egrep,--regexp
gnu,egrep,-s
gnu,egrep,--silent
gnu,egrep,-T
gnu,egrep,--text
gnu,egrep,-U
gnu,egrep,-v
gnu,egrep,-V
gnu,egrep,--version
gnu,egrep,-w
gnu,egrep,--with-filename
gnu,egrep,--word-regexp
gnu,egrep,-x
gnu,egrep,-z
gnu,egrep,-Z
gnu,env,-0
gnu,env,-a
gnu,env,--argv0
gnu,env,--block-signal
gnu,env,-C
gnu,env,--chdir
gnu,env,--debug
gnu,env,--default-signal
gnu,env,--help
gnu,env,-i
gnu,env,--ignore-environment
gnu,env,--ignore-signal
gnu,env,--list-signal-handling
gnu,env,--null
gnu,env,-S
gnu,env,--split-string
gnu,env,-u
gnu,env,--unset
gnu,env,-v
gnu,env,--version
gnu,expand,--help
gnu,expand,-i
gnu,expand,--initial
gnu,expand,-t
gnu,expand,--tabs
gnu,expand,--version
gnu,expr,--help
gnu,expr,--version
gnu,factor,--exponents
gnu,factor,-h
gnu,factor,--help
gnu,factor,--version
gnu,fgrep,-a
gnu,fgrep,-A
gnu,fgrep,--after-context
gnu,fgrep,-b
gnu,fgrep,-B
gnu,fgrep,--basic-regexp
gnu,fgrep,--before-context
gnu,fgrep,--binary
gnu,fgrep,--binary-files
gnu,fgrep,--byte-offset
gnu,fgrep,-c
gnu,fgrep,-C
gnu,fgrep,--color
gnu,fgrep,--colour
gnu,fgrep,--context
gnu,fgrep,--count
gnu,fgrep,-d
gnu,fgrep,-D
gnu,fgrep,--dereference-recursive
gnu,fgrep,--devices
gnu,fgrep,--directories
gnu,fgrep,-e
gnu,fgrep,-E
gnu,fgrep,--exclude
gnu,fgrep,--exclude-dir
gnu,fgrep,--exclude-from
gnu,fgrep,--extended-regexp
gnu,fgrep,-f
gnu,fgrep,-F
gnu,fgrep,--file
gnu,fgrep,--files-with-matches
gnu,fgrep,--files-without-match
gnu,fgrep,--fixed-strings
gnu,fgrep,-G
gnu,fgrep,--group-separator
gnu,fgrep,-h
gnu,fgrep,-H
gnu,fgrep,--help
gnu,fgrep,-i
gnu,fgrep,-I
gnu,fgrep,--ignore-case
gnu,fgrep,--include
gnu,fgrep,--initial-tab
gnu,fgrep,--invert-match
gnu,fgrep,-l
gnu,fgrep,-L
gnu,fgrep,--label
gnu,fgrep,--line-buffered
gnu,fgrep,--line-number
gnu,fgrep,--line-regexp
gnu,fgrep,-m
gnu,fgrep,--max-count
gnu,fgrep,-n
gnu,fgrep,--no-filename
gnu,fgrep,--no-group-separator
gnu,fgrep,--no-ignore-case
gnu,fgrep,--no-messages
gnu,fgrep,--null
gnu,fgrep,--null-data
gnu,fgrep,-o
gnu,fgrep,--only-matching
gnu,fgrep,-P
gnu,fgrep,--perl-regexp
gnu,fgrep,-q
gnu,fgrep,--quiet
gnu,fgrep,-r
gnu,fgrep,-R
gnu,fgrep,--recursive
gnu,fgrep,--regexp
gnu,fgrep,-s
gnu,fgrep,--silent
gnu,fgrep,-T
gnu,fgrep,--text
gnu,fgrep,-U
gnu,fgrep,-v
gnu,fgrep,-V
gnu,fgrep,--version
gnu,fgrep,-w
gnu,fgrep,--with-filename
gnu,fgrep,--word-regexp
gnu,fgrep,-x
gnu,fgrep,-z
gnu,fgrep,-Z
gnu,find,-a
gnu,find,-amin
gnu,find,-and
gnu,find,-anewer
gnu,find,-atime
gnu,find,-cmin
gnu,find,-cnewer
gnu,find,-context
gnu,find,-ctime
gnu,find,-D
gnu,find,-daystart
gnu,find,-delete
gnu,find,-depth
gnu,find,-empty
gnu,find,-exec
gnu,find,-execdir
gnu,find,-executable
gnu,find,-false
gnu,find,-files0-from
gnu,find,-fls
gnu,find,-follow
gnu,find,-fprint
gnu,find,-fprint0
gnu,find,-fprintf
gnu,find,-fstype
gnu,find,-gid
gnu,find,-group
gnu,find,-H
gnu,find,--help
gnu,find,-ignore_readdir_race
gnu,find,-ilname
gnu,find,-iname
gnu,find,-inum
gnu,find,-iregex
gnu,find,-iwholename
gnu,find,-L
gnu,find,-links
gnu,find,-lname
gnu,find,-ls
gnu,find,-maxdepth
gnu,find,-mindepth
gnu,find,-mmin
gnu,find,-mount
gnu,find,-mtime
gnu,find,-N
gnu,find,-name
gnu,find,-newer
gnu,find,-nogroup
gnu,find,-noignore_readdir_race
gnu,find,-noleaf
gnu,find,-not
gnu,find,-nouser
gnu,find,-nowarn
gnu,find,-o
gnu,find,-ok
gnu,find,-okdir
gnu,find,-Olevel
gnu,find,-or
gnu,find,-P
gnu,find,-path
gnu,find,-perm
gnu,find,-print
gnu,find,-print0
gnu,find,-printf
gnu,find,-prune
gnu,find,-quit
gnu,find,-readable
gnu,find,-regex
gnu,find,-regextype
gnu,find,-size
gnu,find,-true
gnu,find,-type
gnu,find,-uid
gnu,find,-used
gnu,find,-user
gnu,find,--version
gnu,find,-warn
gnu,find,-wholename
gnu,find,-writable
gnu,find,-xautofs
gnu,find,-xdev
gnu,find,-xtype
gnu,fmt,-c
gnu,fmt,--crown-margin
gnu,fmt,-g
gnu,fmt,--goal
gnu,fmt,--help
gnu,fmt,-p
gnu,fmt,--prefix
gnu,fmt,-s
gnu,fmt,--split-only
gnu,fmt,-t
gnu,fmt,--tagged-paragraph
gnu,fmt,-u
gnu,fmt,--uniform-spacing
gnu,fmt,--version
gnu,fmt,-w
gnu,fmt,--width
gnu,fold,-b
gnu,fold,--bytes
gnu,fold,-c
gnu,fold,--characters
gnu,fold,--help
gnu,fold,-s
gnu,fold,--spaces
gnu,fold,--version
gnu,fold,-w
gnu,fold,--width
gnu,gawk,--assign
gnu,gawk,-b
gnu,gawk,--bignum
gnu,gawk,-c
gnu,gawk,-C
gnu,gawk,--characters-as-bytes
gnu,gawk,--copyright
gnu,gawk,--csv
gnu,gawk,-d
gnu,gawk,-D
gnu,gawk,--debug
gnu,gawk,--dump-variables
gnu,gawk,-e
gnu,gawk,-E
gnu,gawk,--exec
gnu,gawk,-f
gnu,gawk,-F
gnu,gawk,--field-separator
gnu,gawk,--file
gnu,gawk,-g
gnu,gawk,--gen-pot
gnu,gawk,-h
gnu,gawk,--help
gnu,gawk,-i
gnu,gawk,-I
gnu,gawk,--include
gnu,gawk,-k
gnu,gawk,-l
gnu,gawk,-L
gnu,gawk,--lint
gnu,gawk,--lint-old
gnu,gawk,--load
gnu,gawk,-M
gnu,gawk,-n
gnu,gawk,-N
gnu,gawk,--non-decimal-data
gnu,gawk,--no-optimize
gnu,gawk,-o
gnu,gawk,-O
gnu,gawk,--optimize
gnu,gawk,-p
gnu,gawk,-P
gnu,gawk,--posix
gnu,gawk,--pretty-print
gnu,gawk,--profile
gnu,gawk,-r
gnu,gawk,--re-interval
gnu,gawk,-s
gnu,gawk,-S
gnu,gawk,--sandbox
gnu,gawk,--source
gnu,gawk,-t
gnu,gawk,--trace
gnu,gawk,--traditional
gnu,gawk,--use-lc-numeric
gnu,gawk,-v
gnu,gawk,-V
gnu,gawk,--version
gnu,grep,-a
gnu,grep,-A
gnu,grep,--after-context
gnu,grep,-b
gnu,grep,-B
gnu,grep,--basic-regexp
gnu,grep,--before-context
gnu,grep,--binary
gnu,grep,--binary-files
gnu,grep,--byte-offset
gnu,grep,-c
gnu,grep,-C
gnu,grep,--color
gnu,grep,--colour
gnu,grep,--context
gnu,grep,--count
gnu,grep,-d
gnu,grep,-D
gnu,grep,--dereference-recursive
gnu,grep,--devices
gnu,grep,--directories
gnu,grep,-e
gnu,grep,-E
gnu,grep,--exclude
gnu,grep,--exclude-dir
gnu,grep,--exclude-from
gnu,grep,--extended-regexp
gnu,grep,-f
gnu,grep,-F
gnu,grep,--file
gnu,grep,--files-with-matches
gnu,grep,--files-without-match
gnu,grep,--fixed-strings
gnu,grep,-G
gnu,grep,--group-separator
gnu,grep,-h
gnu,grep,-H
gnu,grep,--help
gnu,grep,-i
gnu,grep,-I
gnu,grep,--ignore-case
gnu,grep,--include
gnu,grep,--initial-tab
gnu,grep,--invert-match
gnu,grep,-l
gnu,grep,-L
gnu,grep,--label
gnu,grep,--line-buffered
gnu,grep,--line-number
gnu,grep,--line-regexp
gnu,grep,-m
gnu,grep,--max-count
gnu,grep,-n
gnu,grep,--no-filename
gnu,grep,--no-group-separator
gnu,grep,--no-ignore-case
gnu,grep,--no-messages
gnu,grep,--null
gnu,grep,--null-data
gnu,grep,-o
gnu,grep,--only-matching
gnu,grep,-P
gnu,grep,--perl-regexp
gnu,grep,-q
gnu,grep,--quiet
gnu,grep,-r
gnu,grep,-R
gnu,grep,--recursive
gnu,grep,--regexp
gnu,grep,-s
gnu,grep,--silent
gnu,grep,-T
gnu,grep,--text
gnu,grep,-U
gnu,grep,-v
gnu,grep,-V
gnu,grep,--version
gnu,grep,-w
gnu,grep,--with-filename
gnu,grep,--word-regexp
gnu,grep,-x
gnu,grep,-z
gnu,grep,-Z
gnu,groups,--help
gnu,groups,--version
gnu,gunzip,-c
gnu,gunzip,-f
gnu,gunzip,--force
gnu,gunzip,--help
gnu,gunzip,-k
gnu,gunzip,--keep
gnu,gunzip,-l
gnu,gunzip,--list
gnu,gunzip,-n
gnu,gunzip,-N
gnu,gunzip,--name
gnu,gunzip,--no-name
gnu,gunzip,-q
gnu,gunzip,--quiet
gnu,gunzip,-r
gnu,gunzip,--recursive
gnu,gunzip,-S
gnu,gunzip,--stdout
gnu,gunzip,--suffix
gnu,gunzip,--synchronous
gnu,gunzip,-t
gnu,gunzip,--test
gnu,gunzip,-v
gnu,gunzip,--verbose
gnu,gunzip,--version
gnu,gzip,-1
gnu,gzip,-9
gnu,gzip,--best
gnu,gzip,-c
gnu,gzip,-d
gnu,gzip,--decompress
gnu,gzip,-f
gnu,gzip,--fast
gnu,gzip,--force
gnu,gzip,-h
gnu,gzip,--help
gnu,gzip,-k
gnu,gzip,--keep
gnu,gzip,-l
gnu,gzip,-L
gnu,gzip,--license
gnu,gzip,--list
gnu,gzip,-n
gnu,gzip,-N
gnu,gzip,--name
gnu,gzip,--no-name
gnu,gzip,-q
gnu,gzip,--quiet
gnu,gzip,-r
gnu,gzip,--recursive
gnu,gzip,--rsyncable
gnu,gzip,-S
gnu,gzip,--stdout
gnu,gzip,--suffix
gnu,gzip,--synchronous
gnu,gzip,-t
gnu,gzip,--test
gnu,gzip,-v
gnu,gzip,-V
gnu,gzip,--verbose
gnu,gzip,--version
gnu,head,--bytes
gnu,head,-c
gnu,head,--help
gnu,head,--lines
gnu,head,-n
gnu,head,-q
gnu,head,--quiet
gnu,head,--silent
gnu,head,-v
gnu,head,--verbose
gnu,head,--version
gnu,head,-z
gnu,head,--zero-terminated
gnu,hostid,--help
gnu,hostid,--version
gnu,id,-a
gnu,id,--context
gnu,id,-g
gnu,id,-G
gnu,id,--group
gnu,id,--groups
gnu,id,--help
gnu,id,-n
gnu,id,--name
